================================================================================
TripWire Readable Report
Generated: 2025-12-01 08:57:39
Source: System_events.tsv
================================================================================

[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/12/01 08:09:33" "129" "Warning" "Microsoft-Windows-Time-Service" "NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: The entry is not found. (0x800706E1)"
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/12/01 08:09:33" "129" "Warning" "Microsoft-Windows-Time-Service" "NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: The entry is not found. (0x800706E1)"
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/12/01 08:09:32" "10317" "Error" "Microsoft-Windows-NDIS" "Miniport Microsoft Wi-Fi Direct Virtual Adapter #4, {6d961592-57f3-462e-8b31-347828315022}, had event Fatal error: The miniport has failed a power transition to operational power"
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/12/01 08:09:32" "27" "Warning" "e1dexpress" "Intel(R) Ethernet Connection (11) I219-LM
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | Network link is disconnected.
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/12/01 08:09:32" "22" "Warning" "Microsoft-Windows-Hyper-V-VmSwitch" "Media disconnected on NIC /DEVICE/{0CC0E3FE-5ECE-403A-A0E1-5A1457606367} (Friendly Name: Intel(R) Ethernet Connection (11) I219-LM)."
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/12/01 08:09:32" "30" "Warning" "TPM" "Reset and/or resume count do not match expected values after hibernate/resume."
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/11/30 21:43:23" "22" "Warning" "Microsoft-Windows-Hyper-V-VmSwitch" "Media disconnected on NIC /DEVICE/{0CC0E3FE-5ECE-403A-A0E1-5A1457606367} (Friendly Name: Intel(R) Ethernet Connection (11) I219-LM)."
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/11/30 21:43:17" "1129" "Error" "Microsoft-Windows-GroupPolicy" "The processing of Group Policy failed because of lack of network connectivity to a domain controller. This may be a transient condition. A success message would be generated once the machine gets connected to the domain controller and Group Policy has successfully processed. If you do not see a success message for several hours, then contact your administrator."
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/11/30 21:43:17" "1129" "Error" "Microsoft-Windows-GroupPolicy" "The processing of Group Policy failed because of lack of network connectivity to a domain controller. This may be a transient condition. A success message would be generated once the machine gets connected to the domain controller and Group Policy has successfully processed. If you do not see a success message for several hours, then contact your administrator."
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/11/30 21:43:17" "27" "Warning" "e1dexpress" "Intel(R) Ethernet Connection (11) I219-LM
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | Network link is disconnected.
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "
[2025-12-01 08:57:39] INFO     | System_events.tsv                        | "2025/11/30 21:43:16" "129" "Warning" "Microsoft-Windows-Time-Service" "NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: The entry is not found. (0x800706E1)"
