timestamp	severity	message	source
2025-12-12 07:36:05	ALERT	"2025/12/12 07:36:05" "10005" "Error" "Microsoft-Windows-DistributedCOM" "DCOM got error ""2"" attempting to start the service LMS with arguments ""Unavailable"" in order to run the server:	System.tsv
2025-12-12 07:36:05	ALERT	"2025/12/12 07:36:05" "7000" "Error" "Service Control Manager" "The Intel(R) Management and Security Application Local Management Service service failed to start due to the following error:	System.tsv
2025-12-12 07:33:27	ALERT	"2025/12/12 07:33:27" "1130" "Error" "Microsoft-Windows-GroupPolicy" "Logon script failed.	System.tsv
2025-12-12 07:33:27	ALERT	"2025/12/12 07:33:27" "1130" "Error" "Microsoft-Windows-GroupPolicy" "Logon script failed.	System.tsv
2025-12-12 07:32:59	ALERT	"2025/12/12 07:32:59" "7023" "Error" "Service Control Manager" "The MessagingService_958d645 service terminated with the following error:	System.tsv
2025-12-12 07:32:51	ALERT	"2025/12/12 07:32:51" "5719" "Error" "NETLOGON" "This computer was not able to set up a secure session with a domain controller in domain IMQS due to the following:	System.tsv
2025-12-12 07:32:37	ALERT	"2025/12/12 07:32:37" "129" "Warning" "Microsoft-Windows-Time-Service" "NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: The entry is not found. (0x800706E1)"	System.tsv
2025-12-12 07:32:36	ALERT	"2025/12/12 07:32:36" "129" "Warning" "Microsoft-Windows-Time-Service" "NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: The entry is not found. (0x800706E1)"	System.tsv
2025-12-12 07:32:36	ALERT	"2025/12/12 07:32:36" "10317" "Error" "Microsoft-Windows-NDIS" "Miniport Microsoft Wi-Fi Direct Virtual Adapter #4, {6d961592-57f3-462e-8b31-347828315022}, had event Fatal error: The miniport has failed a power transition to operational power"	System.tsv
2025-12-11 21:24:26	ALERT	"2025/12/11 21:24:26" "10010" "Error" "Microsoft-Windows-DistributedCOM" "The server Microsoft.AAD.BrokerPlugin_1000.19580.1000.2_neutral_neutral_cw5n1h2txyewy!Windows.Security.Authentication.Web.Core.BackgroundGetTokenTask.ClassId.WebAccountProvider did not register with DCOM within the required timeout."	System.tsv
2025-12-11 21:24:25	ALERT	"2025/12/11 21:24:25" "10010" "Error" "Microsoft-Windows-DistributedCOM" "The server {815211C2-E515-4437-A8CC-E93857DF54F5} did not register with DCOM within the required timeout."	System.tsv
2025-12-11 21:24:25	ALERT	"2025/12/11 21:24:25" "100" "Warning" "winsrvext" "Process C:\Program Files (x86)\Drobo\Drobo Dashboard\DDAssist.exe is delaying system shutdown after 5063 milliseconds."	System.tsv
2025-12-11 21:24:22	ALERT	"2025/12/11 21:24:22" "10010" "Error" "Microsoft-Windows-DistributedCOM" "The server Microsoft.AAD.BrokerPlugin_1000.19580.1000.2_neutral_neutral_cw5n1h2txyewy!Windows.Security.Authentication.Web.Core.BackgroundGetTokenTask.ClassId.WebAccountProvider did not register with DCOM within the required timeout."	System.tsv
