"Readings"	"Timestamp"	"CounterSamples"
"\\scott5411\processor(_total)\% processor time :
22,1037877177283

"	"2025/12/01 08:59:37"	"Microsoft.PowerShell.Commands.GetCounter.PerformanceCounterSample[]"
"\\scott5411\processor(_total)\% processor time :
24,2263056187433

"	"2025/12/01 08:59:38"	"Microsoft.PowerShell.Commands.GetCounter.PerformanceCounterSample[]"
"\\scott5411\processor(_total)\% processor time :
24,9902544857721

"	"2025/12/01 08:59:40"	"Microsoft.PowerShell.Commands.GetCounter.PerformanceCounterSample[]"
"\\scott5411\processor(_total)\% processor time :
9,38614790831561

"	"2025/12/01 08:59:41"	"Microsoft.PowerShell.Commands.GetCounter.PerformanceCounterSample[]"
"\\scott5411\processor(_total)\% processor time :
24,5694140830984

"	"2025/12/01 08:59:42"	"Microsoft.PowerShell.Commands.GetCounter.PerformanceCounterSample[]"
