"Readings"	"Timestamp"	"CounterSamples"
"\\scott5411\processor(_total)\% processor time :
16,9067249154492

"	"2025/12/01 08:57:41"	"Microsoft.PowerShell.Commands.GetCounter.PerformanceCounterSample[]"
"\\scott5411\processor(_total)\% processor time :
18,7324486531698

"	"2025/12/01 08:57:42"	"Microsoft.PowerShell.Commands.GetCounter.PerformanceCounterSample[]"
"\\scott5411\processor(_total)\% processor time :
8,81602293945264

"	"2025/12/01 08:57:43"	"Microsoft.PowerShell.Commands.GetCounter.PerformanceCounterSample[]"
"\\scott5411\processor(_total)\% processor time :
17,0441802538479

"	"2025/12/01 08:57:44"	"Microsoft.PowerShell.Commands.GetCounter.PerformanceCounterSample[]"
"\\scott5411\processor(_total)\% processor time :
10,5246174046939

"	"2025/12/01 08:57:45"	"Microsoft.PowerShell.Commands.GetCounter.PerformanceCounterSample[]"
