================================================================================
TripWire Report: application.txt
================================================================================

[2025-12-11 19:09:51] Error    | Microsoft-Windows-Perflib                | Windows cannot load the extensible counter DLL "C:\WINDOWS\system32\sysmain.dll" (Win32 error code The specified module could not be found.). [1023]
[2025-12-11 14:21:59] Error    | Application Error                        | Faulting application name: ITSMAgent.exe, version: 10.1.50449.25030, time stamp: 0x67d9cf61 Faulting module name: qwindows.dll, version: 5.12.12.4, time stamp: 0x6411bd61 Exception code: 0xc000041d Fault offset: 0x000116f7 Faulting process id: 0x390C Faulting application start time: 0x1DC6A98B48664C7 Faulting application path: C:\Program Files (x86)\COMODO\Endpoint Manager\ITSMAgent.exe Faulting module path: C:\Program Files (x86)\COMODO\Endpoint Manager\platforms\qwindows.dll Report Id: 223bc0bb-de46-410c-9139-c10323549122 Faulting package full name:  Faulting package-relative application ID: [1000]
[2025-12-11 14:21:53] Error    | Application Error                        | Faulting application name: ITSMAgent.exe, version: 10.1.50449.25030, time stamp: 0x67d9cf61 Faulting module name: qwindows.dll, version: 5.12.12.4, time stamp: 0x6411bd61 Exception code: 0xc0000005 Fault offset: 0x000116f7 Faulting process id: 0x390C Faulting application start time: 0x1DC6A98B48664C7 Faulting application path: C:\Program Files (x86)\COMODO\Endpoint Manager\ITSMAgent.exe Faulting module path: C:\Program Files (x86)\COMODO\Endpoint Manager\platforms\qwindows.dll Report Id: 470b0dae-c184-4ef8-8e3f-961e09397554 Faulting package full name:  Faulting package-relative application ID: [1000]
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>
[2025-12-12 10:08:11] INFO     | Application.tsv                          | <no message>

================================================================================
Total: 73 events
