"Caption"	"Description"	"InstallDate"	"Name"	"Status"	"Availability"	"ConfigManagerErrorCode"	"ConfigManagerUserConfig"	"CreationClassName"	"DeviceID"	"ErrorCleared"	"ErrorDescription"	"LastErrorCode"	"PNPDeviceID"	"PowerManagementCapabilities"	"PowerManagementSupported"	"StatusInfo"	"SystemCreationClassName"	"SystemName"	"Access"	"BlockSize"	"ErrorMethodology"	"NumberOfBlocks"	"Purpose"	"FreeSpace"	"Size"	"Compressed"	"DriveType"	"FileSystem"	"MaximumComponentLength"	"MediaType"	"ProviderName"	"QuotasDisabled"	"QuotasIncomplete"	"QuotasRebuilding"	"SupportsDiskQuotas"	"SupportsFileBasedCompression"	"VolumeDirty"	"VolumeName"	"VolumeSerialNumber"	"PSComputerName"
"C:"	"Local Fixed Disk"		"C:"					"Win32_LogicalDisk"	"C:"								"Win32_ComputerSystem"	"SCOTT5411"	"0"					"101964365824"	"511986102272"	"False"	"3"	"NTFS"	"255"	"12"		"True"	"False"	"False"	"True"	"True"	"False"	""	"68786494"	
"Z:"	"Network Connection"		"Z:"					"Win32_LogicalDisk"	"Z:"								"Win32_ComputerSystem"	"SCOTT5411"	"0"					"2758349516800"	"12000539176960"	"False"	"4"	"NTFS"	"255"	"0"	"\\imqsfile01\Public"				"False"	"True"		"IMQSShares"	"664D675B"	
